SecurityCode,companyName,DATA1,DATA2,DATA3
532555,NTPC LTD.,"3,33,953.18 Cr.","3,33,225.93 Cr.","3,35,165.26 Cr."
532215,AXIS BANK LTD.,"3,33,914.08 Cr.","3,35,348.71 Cr.","3,35,765.22 Cr."
500114,Titan Company Limited,"3,27,295.68 Cr.","3,26,296.93 Cr.","3,26,918.38 Cr."
500570,TATA MOTORS LTD.,"3,07,400.78 Cr.","3,07,749.72 Cr.","3,07,866.03 Cr."
541450,Adani Green Energy Ltd,"3,05,639.07 Cr.","3,05,330.18 Cr.","3,05,385.62 Cr."
500820,ASIAN PAINTS LTD.,"2,87,759.34 Cr.","2,87,951.18 Cr.","2,88,943.95 Cr."
532538,ULTRATECH CEMENT LTD.,"2,87,099.89 Cr.","2,86,995.96 Cr.","2,87,299.09 Cr."
533278,COAL INDIA LTD.,"2,75,658.84 Cr.","2,75,011.75 Cr.","2,75,196.63 Cr."
532921,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.,"2,80,710.06 Cr.","2,80,710.06 Cr.","2,80,807.26 Cr."
507685,WIPRO LTD.,"2,76,427.57 Cr.","2,77,524.82 Cr.","2,77,864.44 Cr."
530965,INDIAN OIL CORPORATION LTD.,"2,66,608.98 Cr.","2,66,608.98 Cr.","2,66,750.19 Cr."
532978,BAJAJ FINSERV LTD.,"2,56,482.80 Cr.","2,56,115.84 Cr.","2,55,836.63 Cr."
532898,POWER GRID CORPORATION OF INDIA LTD.,"2,66,880.83 Cr.","2,66,834.32 Cr.","2,67,810.89 Cr."
500790,NESTLE INDIA LTD.,"2,42,774.77 Cr.","2,44,221.01 Cr.","2,44,775.40 Cr."
540376,Avenue Supermarts Ltd,"2,44,132.27 Cr.","2,43,985.86 Cr.","2,44,337.25 Cr."
532977,BAJAJ AUTO LTD.,"2,35,177.96 Cr.","2,35,806.61 Cr.","2,34,828.23 Cr."
500520,MAHINDRA & MAHINDRA LTD.,"2,29,455.94 Cr.","2,30,425.89 Cr.","2,30,295.32 Cr."
533096,ADANI POWER LTD.,"2,15,217.19 Cr.","2,15,140.05 Cr.","2,14,002.26 Cr."
532868,DLF LTD.,"2,13,285.23 Cr.","2,13,483.26 Cr.","2,13,879.31 Cr."
543257,Indian Railway Finance Corporation Ltd,"2,06,939.79 Cr.","2,06,678.42 Cr.","2,07,070.48 Cr."
541154,Hindustan Aeronautics Ltd,"2,00,471.99 Cr.","2,00,565.62 Cr.","2,00,371.68 Cr."
500228,JSW STEEL LTD.,"1,99,977.00 Cr.","1,99,769.13 Cr.","1,98,619.77 Cr."
540180,Varun Beverages Ltd,"1,86,943.98 Cr.","1,86,638.63 Cr.","1,86,814.04 Cr."
500470,TATA STEEL LTD.,"1,75,704.46 Cr.","1,75,080.28 Cr.","1,76,078.96 Cr."
543940,Jio Financial Services Ltd,"1,78,908.48 Cr.","1,79,321.45 Cr.","1,78,908.48 Cr."
540005,LTIMindtree Ltd,"1,63,009.80 Cr.","1,63,089.76 Cr.","1,62,952.05 Cr."
500550,SIEMENS LTD.,"1,57,545.82 Cr.","1,57,476.38 Cr.","1,57,853.86 Cr."
540719,SBI Life Insurance Company Ltd,"1,50,921.94 Cr.","1,51,092.15 Cr.","1,51,532.70 Cr."
500300,GRASIM INDUSTRIES LTD.,"1,48,693.55 Cr.","1,49,129.09 Cr.","1,49,203.94 Cr."
500251,TRENT LTD.,"1,43,524.51 Cr.","1,43,552.95 Cr.","1,42,728.22 Cr."
532810,POWER FINANCE CORPORATION LTD.,"1,40,386.33 Cr.","1,40,881.34 Cr.","1,40,996.85 Cr."
500547,BHARAT PETROLEUM CORPORATION LTD.,"1,42,031.82 Cr.","1,42,064.36 Cr.","1,42,704.29 Cr."
532461,PUNJAB NATIONAL BANK,"1,42,592.65 Cr.","1,42,867.93 Cr.","1,42,592.65 Cr."
532134,BANK OF BARODA,"1,41,204.04 Cr.","1,41,979.75 Cr.","1,41,281.61 Cr."
543320,Zomato Ltd,"1,41,292.94 Cr.","1,41,689.83 Cr.","1,41,998.52 Cr."
500049,BHARAT ELECTRONICS LTD.,"1,39,068.54 Cr.","1,39,507.13 Cr.","1,39,324.38 Cr."
500331,PIDILITE INDUSTRIES LTD.,"1,38,888.50 Cr.","1,38,799.49 Cr.","1,39,709.90 Cr."
532388,INDIAN OVERSEAS BANK,"1,30,861.40 Cr.","1,31,787.62 Cr.","1,31,428.47 Cr."
500188,HINDUSTAN ZINC LTD.,"1,31,703.19 Cr.","1,31,745.45 Cr.","1,31,449.67 Cr."
532755,TECH MAHINDRA LTD.,"1,28,103.38 Cr.","1,28,572.05 Cr.","1,28,923.56 Cr."
540777,HDFC Life Insurance Company Ltd,"1,25,598.38 Cr.","1,25,953.26 Cr.","1,26,523.24 Cr."
532424,GODREJ CONSUMER PRODUCTS LTD.,"1,24,917.05 Cr.","1,25,182.98 Cr.","1,25,510.28 Cr."
532955,REC Ltd,"1,22,879.40 Cr.","1,23,037.39 Cr.","1,23,024.23 Cr."
500400,TATA POWER CO.LTD.,"1,20,815.79 Cr.","1,20,767.86 Cr.","1,21,087.39 Cr."
532155,GAIL (INDIA) LTD.,"1,21,606.47 Cr.","1,21,014.71 Cr.","1,20,948.96 Cr."
539254,Adani Energy Solutions Ltd,"1,19,720.25 Cr.","1,19,513.89 Cr.","1,19,301.94 Cr."
500087,CIPLA LTD.,"1,16,901.62 Cr.","1,16,780.52 Cr.","1,17,111.54 Cr."
500825,BRITANNIA INDUSTRIES LTD.,"1,18,096.52 Cr.","1,18,233.82 Cr.","1,18,595.12 Cr."
539448,InterGlobe Aviation Ltd,"1,20,424.74 Cr.","1,20,316.66 Cr.","1,19,978.93 Cr."
500425,AMBUJA CEMENTS LTD.,"1,16,170.17 Cr.","1,16,239.67 Cr.","1,16,914.79 Cr."
532187,INDUSIND BANK LTD.,"1,15,777.72 Cr.","1,16,727.10 Cr.","1,17,065.61 Cr."
500440,HINDALCO INDUSTRIES LTD.,"1,14,810.29 Cr.","1,14,461.97 Cr.","1,15,012.54 Cr."
542066,Adani Total Gas Ltd,"1,11,438.26 Cr.","1,11,317.28 Cr.","1,11,350.27 Cr."
500800,Tata Consumer Products Ltd,"1,09,380.67 Cr.","1,09,990.49 Cr.","1,09,990.49 Cr."
500124,DR.REDDY'S LABORATORIES LTD.,"1,06,476.96 Cr.","1,06,431.09 Cr.","1,06,303.49 Cr."
505200,EICHER MOTORS LTD.,"1,04,963.39 Cr.","1,04,971.60 Cr.","1,04,975.71 Cr."
543287,Macrotech Developers Ltd,"1,07,928.47 Cr.","1,07,957.41 Cr.","1,07,745.22 Cr."
532477,UNION BANK OF INDIA,"1,06,405.69 Cr.","1,04,960.27 Cr.","1,04,589.64 Cr."
532483,CANARA BANK,"1,03,378.21 Cr.","1,03,196.80 Cr.","1,03,214.94 Cr."
532343,TVS MOTOR COMPANY LTD.,"1,00,461.92 Cr.","1,00,345.52 Cr.","1,00,685.21 Cr."
500295,Vedanta Limited,"1,00,475.83 Cr.","1,00,197.04 Cr.","1,00,494.41 Cr."
532488,DIVI'S LABORATORIES LTD.,"98,340.18 Cr.","98,467.61 Cr.","98,472.92 Cr."
500490,BAJAJ HOLDINGS & INVESTMENT LTD.,"98,202.61 Cr.","98,193.15 Cr.","98,035.11 Cr."
500116,IDBI BANK LTD.,"97,094.19 Cr.","97,502.78 Cr.","97,707.08 Cr."
533098,NHPC LTD.,"97,095.31 Cr.","95,407.74 Cr.","95,236.97 Cr."
500096,DABUR INDIA LTD.,"96,301.35 Cr.","96,584.87 Cr.","97,081.04 Cr."
500182,HERO MOTOCORP LTD.,"93,563.37 Cr.","93,303.48 Cr.","93,186.52 Cr."
500387,SHREE CEMENT LTD.,"95,434.30 Cr.","95,521.25 Cr.","95,704.73 Cr."
508869,APOLLO HOSPITALS ENTERPRISE LTD.,"96,772.83 Cr.","96,994.97 Cr.","97,299.08 Cr."
500002,ABB India Limited,"95,620.48 Cr.","95,678.75 Cr.","95,827.09 Cr."
511243,Cholamandalam Investment and Finance Company Ltd,"92,828.56 Cr.","92,354.07 Cr.","92,278.48 Cr."
532321,Zydus Lifesciences Ltd,"91,331.18 Cr.","90,587.21 Cr.","90,683.37 Cr."
511218,Shriram Finance Ltd,"90,690.70 Cr.","90,696.34 Cr.","90,912.37 Cr."
543904,Mankind Pharma Ltd,"87,516.56 Cr.","87,550.61 Cr.","87,917.14 Cr."
500420,TORRENT PHARMACEUTICALS LTD.,"89,117.14 Cr.","89,110.37 Cr.","89,672.17 Cr."
517354,HAVELLS INDIA LTD.,"87,876.63 Cr.","87,876.63 Cr.","87,181.01 Cr."
500530,BOSCH LTD.,"85,797.00 Cr.","85,880.76 Cr.","85,926.48 Cr."
532432,UNITED SPIRITS LTD.,"82,448.86 Cr.","83,132.57 Cr.","83,168.93 Cr."
533148,JSW Energy Ltd,"80,260.17 Cr.","80,589.11 Cr.","80,613.78 Cr."
543220,Max Healthcare Institute Ltd,"83,881.10 Cr.","83,939.41 Cr.","84,347.59 Cr."
540716,ICICI Lombard General Insurance Company Ltd,"81,010.31 Cr.","80,966.00 Cr.","81,229.40 Cr."
541729,HDFC Asset Management Company Ltd,"80,232.62 Cr.","80,398.07 Cr.","80,769.54 Cr."
500104,HINDUSTAN PETROLEUM CORPORATION LTD.,"79,332.32 Cr.","79,864.27 Cr.","79,864.27 Cr."
500103,BHARAT HEAVY ELECTRICALS LTD.,"80,017.82 Cr.","80,313.79 Cr.","80,435.66 Cr."
532648,YES BANK LTD.,"76,999.44 Cr.","76,913.15 Cr.","76,510.47 Cr."
532822,Vodafone Idea Ltd,"78,277.15 Cr.","78,179.79 Cr.","77,595.63 Cr."
532286,JINDAL STEEL & POWER LTD.,"76,940.14 Cr.","76,914.64 Cr.","77,414.49 Cr."
500850,INDIAN HOTELS CO.LTD.,"77,619.76 Cr.","77,790.57 Cr.","78,061.02 Cr."
517334,Samvardhana Motherson International Ltd,"76,131.56 Cr.","76,436.49 Cr.","76,876.95 Cr."
542830,Indian Railway Catering and Tourism Corporation Ltd,"75,680.00 Cr.","76,000.00 Cr.","76,124.00 Cr."
540755,General Insurance Corporation of India,"71,509.34 Cr.","71,921.63 Cr.","71,509.34 Cr."
540133,ICICI Prudential Life Insurance Company Ltd,"74,891.76 Cr.","74,927.77 Cr.","74,949.37 Cr."
500480,CUMMINS INDIA LTD.,"72,929.93 Cr.","72,853.70 Cr.","72,848.16 Cr."
532814,INDIAN BANK,"72,762.99 Cr.","72,399.31 Cr.","72,527.28 Cr."
532505,UCO BANK,"71,879.22 Cr.","72,010.74 Cr.","71,185.77 Cr."
500257,LUPIN LTD.,"71,605.14 Cr.","71,552.76 Cr.","72,381.75 Cr."
526371,NMDC LTD.,"70,261.28 Cr.","70,539.68 Cr.","70,627.60 Cr."
540762,Tube Investments of India Ltd,"71,201.41 Cr.","71,318.40 Cr.","71,866.63 Cr."
542652,Polycab India Ltd,"71,510.46 Cr.","71,319.69 Cr.","71,066.59 Cr."
500830,COLGATE-PALMOLIVE (INDIA) LTD.,"68,404.39 Cr.","68,717.17 Cr.","68,892.60 Cr."
503806,SRF LTD.,"69,762.10 Cr.","70,236.38 Cr.","70,845.53 Cr."
543066,SBI Cards and Payment Services Ltd,"70,248.26 Cr.","70,319.56 Cr.","70,338.58 Cr."
532777,INFO EDGE (INDIA) LTD.,"69,351.83 Cr.","68,735.31 Cr.","68,833.00 Cr."
531642,MARICO LTD.,"68,833.49 Cr.","69,169.89 Cr.","69,363.97 Cr."
532466,ORACLE FINANCIAL SERVICES SOFTWARE LTD.,"67,104.05 Cr.","67,407.29 Cr.","68,013.35 Cr."
533179,PERSISTENT SYSTEMS LTD.,"66,840.90 Cr.","66,901.67 Cr.","66,817.44 Cr."
500093,CG Power and Industrial Solutions Ltd,"66,552.12 Cr.","66,666.67 Cr.","66,788.85 Cr."
539523,Alkem Laboratories Ltd,"64,545.37 Cr.","64,438.36 Cr.","64,519.07 Cr."
532149,BANK OF INDIA,"64,738.94 Cr.","64,852.75 Cr.","64,670.65 Cr."
509480,BERGER PAINTS INDIA LTD.,"65,380.74 Cr.","65,532.29 Cr.","65,736.30 Cr."
533106,OIL INDIA LTD.,"65,747.49 Cr.","66,365.60 Cr.","65,601.09 Cr."
533150,Godrej Properties Ltd,"63,810.10 Cr.","64,053.38 Cr.","63,857.36 Cr."
500290,MRF LTD.,"62,938.56 Cr.","62,968.40 Cr.","63,129.80 Cr."
500488,ABBOTT INDIA LTD.,"61,941.72 Cr.","61,899.22 Cr.","62,075.59 Cr."
532667,SUZLON ENERGY LTD.,"62,539.61 Cr.","62,199.72 Cr.","62,240.51 Cr."
531344,CONTAINER CORPORATION OF INDIA LTD.,"60,786.25 Cr.","60,911.16 Cr.","60,889.83 Cr."
524804,AUROBINDO PHARMA LTD.,"61,057.73 Cr.","61,409.30 Cr.","61,681.76 Cr."
500368,Patanjali Foods Ltd,"58,842.26 Cr.","58,842.26 Cr.","59,625.98 Cr."
534816,Indus Towers Ltd,"59,450.31 Cr.","59,612.01 Cr.","59,692.85 Cr."
532725,SOLAR INDUSTRIES INDIA LTD.,"59,504.90 Cr.","59,526.17 Cr.","59,723.44 Cr."
532885,CENTRAL BANK OF INDIA,"56,929.60 Cr.","57,250.80 Cr.","57,163.99 Cr."
539437,IDFC First Bank Ltd,"57,590.79 Cr.","57,866.44 Cr.","57,781.63 Cr."
540115,L&T Technology Services Ltd,"56,999.60 Cr.","57,171.97 Cr.","57,318.96 Cr."
532779,TORRENT POWER LTD.,"55,621.78 Cr.","55,669.84 Cr.","55,270.93 Cr."
523642,PI Industries Ltd,"55,427.94 Cr.","55,630.48 Cr.","55,968.81 Cr."
532754,GMR Airports Infrastructure Ltd,"54,359.72 Cr.","54,896.92 Cr.","54,733.95 Cr."
542649,Rail Vikas Nigam Ltd,"55,253.03 Cr.","55,544.94 Cr.","55,711.74 Cr."
533398,MUTHOOT FINANCE LTD.,"53,755.36 Cr.","53,996.23 Cr.","53,725.25 Cr."
590024,FERTILIZERS & CHEMICALS TRAVANCORE LTD.,"53,580.79 Cr.","53,823.45 Cr.","53,881.68 Cr."
500459,PROCTER & GAMBLE HYGIENE & HEALTH CARE LTD.,"53,787.28 Cr.","53,917.77 Cr.","53,527.75 Cr."
500113,STEEL AUTHORITY OF INDIA LTD.,"52,245.67 Cr.","52,493.47 Cr.","53,773.80 Cr."
532830,Astral Ltd,"52,311.08 Cr.","52,437.34 Cr.","52,433.31 Cr."
526299,MPHASIS LTD.,"51,772.94 Cr.","52,212.14 Cr.","52,304.70 Cr."
500493,BHARAT FORGE LTD.,"51,831.21 Cr.","52,115.17 Cr.","52,045.34 Cr."
532508,JINDAL STAINLESS LTD.,"52,518.66 Cr.","52,629.82 Cr.","52,918.02 Cr."
500483,TATA COMMUNICATIONS LTD.,"51,781.65 Cr.","52,011.08 Cr.","51,891.38 Cr."
509930,SUPREME INDUSTRIES LTD.,"51,624.36 Cr.","51,634.52 Cr.","51,030.50 Cr."
500477,ASHOK LEYLAND LTD.,"50,589.47 Cr.","50,589.47 Cr.","50,839.04 Cr."
500109,MANGALORE REFINERY & PETROCHEMICALS LTD.,"47,635.63 Cr.","47,819.66 Cr.","47,863.47 Cr."
500410,ACC LTD.,"50,410.55 Cr.","50,432.15 Cr.","50,439.66 Cr."
503100,The Phoenix Mills Ltd,"50,943.47 Cr.","50,991.71 Cr.","50,340.48 Cr."
533206,SJVN Ltd,"48,159.64 Cr.","48,218.59 Cr.","48,356.13 Cr."
523457,Linde India Limited,"48,833.75 Cr.","48,874.68 Cr.","48,541.22 Cr."
543994,JSW Infrastructure Ltd,"50,295.04 Cr.","50,400.04 Cr.","50,148.04 Cr."
540769,The New India Assurance Company Ltd,"46,069.84 Cr.","46,358.24 Cr.","45,995.68 Cr."
500408,TATA ELXSI LTD.,"47,516.92 Cr.","47,603.80 Cr.","48,432.08 Cr."
540691,Aditya Birla Capital Ltd,"47,709.30 Cr.","47,904.30 Cr.","47,774.30 Cr."
544026,Indian Renewable Energy Development Agency Ltd,"47,089.64 Cr.","47,250.90 Cr.","47,062.76 Cr."
543458,Adani Wilmar Ltd,"48,205.08 Cr.","48,224.57 Cr.","48,042.62 Cr."
533273,OBEROI REALTY LTD.,"47,517.36 Cr.","47,566.44 Cr.","47,622.80 Cr."
505790,Schaeffler India Ltd,"45,751.65 Cr.","45,730.55 Cr.","45,398.40 Cr."
532478,UNITED BREWERIES LTD.-$,"45,558.33 Cr.","45,789.68 Cr.","45,796.29 Cr."
533274,PRESTIGE ESTATES PROJECTS LTD.,"46,884.78 Cr.","46,708.40 Cr.","46,602.17 Cr."
533295,PUNJAB & SIND BANK,"45,207.84 Cr.","45,038.39 Cr.","44,821.50 Cr."
544028,Tata Technologies Ltd,"46,781.69 Cr.","46,820.23 Cr.","46,737.07 Cr."
543390,PB Fintech Ltd,"44,831.58 Cr.","44,655.61 Cr.","44,975.96 Cr."
590071,SUNDARAM FINANCE LTD.,"45,818.68 Cr.","45,700.91 Cr.","45,774.79 Cr."
502355,BALKRISHNA INDUSTRIES LTD.-$,"44,091.78 Cr.","44,274.47 Cr.","44,134.31 Cr."
542651,KPIT Technologies Ltd,"44,274.22 Cr.","44,363.32 Cr.","44,392.11 Cr."
532525,BANK OF MAHARASHTRA,"43,465.47 Cr.","43,373.41 Cr.","43,182.22 Cr."
543384,FSN E-Commerce Ventures Ltd,"43,772.23 Cr.","43,772.23 Cr.","43,558.08 Cr."
543237,Mazagon Dock Shipbuilders Ltd,"42,842.99 Cr.","42,887.36 Cr.","43,080.98 Cr."
533519,L&T FINANCE HOLDINGS LTD.,"43,295.12 Cr.","43,456.90 Cr.","43,394.67 Cr."
532522,PETRONET LNG LTD.,"42,232.50 Cr.","42,337.50 Cr.","42,187.50 Cr."
532541,Coforge Ltd,"40,803.50 Cr.","40,958.29 Cr.","41,135.94 Cr."
500411,THERMAX LTD.,"41,905.48 Cr.","41,944.80 Cr.","41,726.75 Cr."
532827,PAGE INDUSTRIES LTD.,"40,581.64 Cr.","40,733.06 Cr.","40,711.64 Cr."
540699,Dixon Technologies (India) Ltd,"40,181.91 Cr.","40,154.39 Cr.","40,099.36 Cr."
532947,IRB INFRASTRUCTURE DEVELOPERS LTD.,"39,567.53 Cr.","39,537.33 Cr.","39,736.62 Cr."
540611,AU Small Finance Bank Ltd,"40,072.63 Cr.","40,172.96 Cr.","40,116.11 Cr."
533758,APL APOLLO TUBES LTD.,"39,251.69 Cr.","39,463.99 Cr.","39,892.77 Cr."
500469,FEDERAL BANK LTD.,"37,353.15 Cr.","37,559.99 Cr.","37,547.83 Cr."
542216,Dalmia Bharat Ltd,"38,879.56 Cr.","38,918.95 Cr.","39,112.12 Cr."
540530,Housing & Urban Development Corporation Ltd,"39,027.04 Cr.","39,577.56 Cr.","39,777.75 Cr."
543278,Kalyan Jewellers India Ltd,"37,833.85 Cr.","37,602.09 Cr.","37,560.88 Cr."
500660,GLAXOSMITHKLINE PHARMACEUTICALS LTD.,"38,716.06 Cr.","38,876.99 Cr.","38,686.41 Cr."
542812,Gujarat Fluorochemicals Ltd,"38,647.43 Cr.","38,378.29 Cr.","38,688.62 Cr."
512070,UPL Limited,"37,858.45 Cr.","37,957.78 Cr.","38,118.23 Cr."
539336,Gujarat Gas Ltd,"38,205.65 Cr.","38,205.65 Cr.","38,195.33 Cr."
543654,Global Health Ltd,"37,683.18 Cr.","37,565.07 Cr.","37,601.31 Cr."
532539,UNO Minda Ltd-$,"36,743.31 Cr.","36,734.71 Cr.","36,728.98 Cr."
532683,AIA ENGINEERING LTD.,"36,666.10 Cr.","36,563.76 Cr.","36,426.53 Cr."
500092,CRISIL LTD.,"37,068.60 Cr.","37,139.52 Cr.","36,922.37 Cr."
524000,Poonawalla Fincorp Ltd,"36,269.48 Cr.","36,269.48 Cr.","36,050.34 Cr."
500575,VOLTAS LTD.,"36,513.13 Cr.","36,562.76 Cr.","36,582.62 Cr."
543300,Sona BLW Precision Forgings Ltd,"37,300.63 Cr.","37,529.34 Cr.","37,470.70 Cr."
532720,MAHINDRA & MAHINDRA FINANCIAL SERVICES LTD.,"35,540.02 Cr.","35,614.15 Cr.","35,960.10 Cr."
532523,BIOCON LTD.,"33,838.91 Cr.","33,886.94 Cr.","33,796.89 Cr."
500253,LIC HOUSING FINANCE LTD.,"34,598.96 Cr.","34,995.01 Cr.","35,105.02 Cr."
513683,NLC India Ltd,"35,054.17 Cr.","34,998.71 Cr.","35,359.23 Cr."
523395,3M INDIA LTD.,"35,248.40 Cr.","35,313.74 Cr.","35,289.30 Cr."
543529,Delhivery Ltd,"34,733.04 Cr.","34,799.33 Cr.","34,707.26 Cr."
500271,Max Financial Services Ltd,"33,096.51 Cr.","33,181.06 Cr.","33,294.95 Cr."
500877,APOLLO TYRES LTD.,"32,783.91 Cr.","32,869.65 Cr.","33,107.81 Cr."
517174,HONEYWELL AUTOMATION INDIA LTD.,"32,751.65 Cr.","32,741.80 Cr.","32,846.26 Cr."
540680,KIOCL Ltd,"32,684.85 Cr.","32,529.88 Cr.","32,292.85 Cr."
543245,Gland Pharma Ltd,"32,401.81 Cr.","32,369.69 Cr.","32,413.34 Cr."
543412,Star Health and Allied Insurance Company Ltd,"33,125.84 Cr.","33,128.76 Cr.","33,111.21 Cr."
541153,Bandhan Bank Ltd,"32,798.29 Cr.","32,790.24 Cr.","32,669.42 Cr."
532843,FORTIS HEALTHCARE LTD.,"33,516.37 Cr.","33,493.72 Cr.","33,497.49 Cr."
500495,Escorts Kubota Ltd,"32,320.19 Cr.","32,375.99 Cr.","32,313.56 Cr."
533155,Jubilant FoodWorks Ltd,"33,305.69 Cr.","33,391.47 Cr.","33,431.06 Cr."
532644,J.K.CEMENT LTD.,"32,213.81 Cr.","32,343.59 Cr.","32,432.43 Cr."
506395,COROMANDEL INTERNATIONAL LTD.,"32,120.88 Cr.","32,216.56 Cr.","32,266.61 Cr."
541143,Bharat Dynamics Ltd,"31,799.30 Cr.","31,986.24 Cr.","32,055.89 Cr."
543498,Motherson Sumi Wiring India Ltd,"31,686.08 Cr.","31,659.55 Cr.","31,787.77 Cr."
543426,Metro Brands Ltd,"31,326.94 Cr.","31,299.75 Cr.","31,273.92 Cr."
540767,Nippon Life India Asset Management Ltd,"31,907.59 Cr.","31,948.47 Cr.","31,586.82 Cr."
523610,ITI LTD.,"31,094.30 Cr.","31,089.50 Cr.","31,248.04 Cr."
570001,Tata Motors  Ltd - DVR,"30,970.37 Cr.","31,051.73 Cr.","31,138.17 Cr."
506401,DEEPAK NITRITE LTD.-$,"31,799.36 Cr.","31,889.37 Cr.","32,152.61 Cr."
524494,IPCA LABORATORIES LTD.,"31,112.33 Cr.","31,098.37 Cr.","31,417.98 Cr."
532514,INDRAPRASTHA GAS LTD.,"30,653.04 Cr.","30,744.04 Cr.","30,726.54 Cr."
539268,Syngene International Ltd,"30,217.46 Cr.","30,279.77 Cr.","30,512.94 Cr."
517569,KEI INDUSTRIES LTD.,"29,406.98 Cr.","29,401.56 Cr.","29,605.51 Cr."
532234,NATIONAL ALUMINIUM CO.LTD.,"29,487.12 Cr.","29,542.22 Cr.","29,386.11 Cr."
512455,LLOYDS METALS AND ENERGY LTD.,"29,072.29 Cr.","29,049.55 Cr.","29,036.92 Cr."
501301,TATA INVESTMENT CORPORATION LTD.,"29,613.43 Cr.","29,600.78 Cr.","29,596.73 Cr."
533023,ZF Commercial Vehicle Control Systems India Ltd,"28,439.43 Cr.","28,479.54 Cr.","28,490.45 Cr."
500086,EXIDE INDUSTRIES LTD.,"28,041.50 Cr.","28,084.00 Cr.","28,113.75 Cr."
532605,JBM AUTO LTD.,"27,072.09 Cr.","27,196.84 Cr.","27,124.71 Cr."
539551,Narayana Hrudayalaya Ltd,"27,683.74 Cr.","27,771.61 Cr.","27,730.74 Cr."
506285,BAYER CROPSCIENCE LTD.,"27,428.16 Cr.","27,466.36 Cr.","27,402.77 Cr."
500164,GODREJ INDUSTRIES LTD.,"27,374.64 Cr.","27,351.07 Cr.","27,068.25 Cr."
543235,Angel One Ltd,"26,665.56 Cr.","26,622.74 Cr.","26,448.95 Cr."
532331,AJANTA PHARMA LTD.,"26,668.94 Cr.","26,626.75 Cr.","26,549.32 Cr."
543187,Hitachi Energy India Ltd,"25,988.23 Cr.","25,963.01 Cr.","25,831.63 Cr."
500067,BLUE STAR LTD.,"26,230.28 Cr.","26,203.55 Cr.","26,323.83 Cr."
532892,MOTILAL OSWAL FINANCIAL SERVICES LTD.,"25,862.15 Cr.","25,936.42 Cr.","26,024.79 Cr."
506943,J.B.CHEMICALS & PHARMACEUTICALS LTD.,"25,575.92 Cr.","25,755.12 Cr.","25,593.77 Cr."
540153,Endurance Technologies Ltd,"25,689.96 Cr.","25,768.03 Cr.","25,720.20 Cr."
534309,NBCC (India) Ltd,"25,749.00 Cr.","25,740.00 Cr.","25,659.00 Cr."
541179,ICICI Securities Ltd,"25,844.84 Cr.","25,899.79 Cr.","25,861.00 Cr."
500840,EIH LTD.,"25,621.17 Cr.","25,608.66 Cr.","25,023.95 Cr."
542772,360 ONE WAM LTD,"25,306.19 Cr.","25,374.32 Cr.","25,254.20 Cr."
532259,APAR INDUSTRIES LTD.,"25,206.22 Cr.","25,270.89 Cr.","25,065.63 Cr."
524208,AARTI INDUSTRIES LTD.,"24,976.53 Cr.","25,319.09 Cr.","25,532.97 Cr."
500165,KANSAI NEROLAC PAINTS LTD.,"25,120.40 Cr.","25,181.02 Cr.","25,221.44 Cr."
